token,value,dimension
R_∞hc ̇,13.6056931229804280049256068600676907918022717636032791772000,eV
E_h⋮eV,27.2113862459608560098512137201353815836045435272065583543999,eV
eV⋮E_h,0.0367493221756772858473139892746349778980208535268705304842482,E_h
F_90,0.999999982178025823787364471804248334577950344404695786666667,F
H_90,1.00000001782197417621263552819575166542204965559530421333333,H
Ω_90,1.00000001782197417621263552819575166542204965559530421333333,Ω
ST_0,-1.15170753432429517955298917181897149406333167517414782843783,-
ST_1,-1.16487052045595794326192358111872605025645449990476912002899,-
σ,0.0000000567037441987316566766380666460651929909714570098949226750854,W/m^2*K^4
σ_+',0.0000256684124759787072769287809897533308481965097488536814032649,-
σ_he,0.0000599670299153336358753805706195738506245079826344464202113116,-
A_ef,514220674774.742339279400842082636377820764640000791239725608,V/m
A_current,0.00662361823748091772261393850812242776412257257569842719679653,A
A_force,0.0000000823872349803770692841457837135209227417128166070813100589476,N
A_cd,1081202385617.97366810865447543785588758941337061557656841012,C/m^3
μ_n,-9.66235818798182864486582965246268295389841089444086809551518e-27,J/T
γ_n ̇,29.1646871897930907412381506718610346233665687485630327481134,MHz/T
γ_n,183247134.039396462641008330524600978189007908233640793142173,1/(s*T)
μ_n/μ_B,-0.00104187546165271803439192497936915726439479129913278195546433,-
μ_n/μ_N,-1.91304241427758983339698440362261275615659505462801610223508,-
g_n,-3.82608482855517966679396880724522551231319010925603220447016,-
Hz⋮kg,7.37249732369514811958314623894604095643783497296572534727103e-51,kg
Hz⋮A_mass,4.43982166082253697905347562911104276739845175363038633084626e-24,u
N_time,1.28808866695581035545528272443985104863993854673690604896074e-21,s
A_mass⋮Hz,225234272093083596964785.140779021414010467697156388171644704,Hz
kg⋮Hz,135639248967168494267965903591166778072494481788549.700901673,Hz
R_∞hc ̈,0.00000000000000000217987236111219442380407998277973238180667704130838981803494,J
E_h,0.00000000000000000435974472222438884760815996555946476361335408261677963606989,J
J⋮E_h,229371227838602555.878349478414009115692797589151444078339568,E_h
k_B,1.38064900009246310311609459834049285945374875066962624876424e-23,J/K
k_B ⃛,0.0000861733326153814787627966042067226268393139188933304313219666,eV/K
K⋮J,1.38064900009246310311609459834049285945374875066962624876424e-23,J
K⋮eV,0.0000861733326153814787627966042067226268393139188933304313219666,eV
eV⋮K,11604.5181221091361536705265211406752527166891203702624093113,K
J⋮K,72429705153935714244060.4482223469398268417812888138528720533,K
n_0,26516458046471065071960625.3788566501288089991904864919905010,1/m^3
n_1,26867801115586806684164103.6651265007430157184297604380093751,1/m^3
μ_B/k_B,0.671713814961806819198661413701681679310237883111395034935212,K/T
μ_N/k_B,0.000365826777199876083869330997201571864941182021677046871110917,K/T
K_J,483597848424072.413310041398961477594054324722296876477815451,Hz/V
e/ℏ,1519267447900894.69701683913874934915619867290064143260551701,A/J
Φ_0,0.00000000000000206783384843114712854118874075283181174946014528391670275525,Wb
ℏ/e,0.000000000000000658211956941108971474568851580149735210118481568253439479606,eV*s
h/e,0.00000000000000413566769686229425708237748150566362349892029056783340551050,eV/Hz
c_1,0.000000000000000374177185285686778851250689075102580115550081823226323407318,W*m^2
c_1L,0.000000000000000119104297260858234942456465786874623544362260641878610130345,W*m^2/sr
A_mass⋮E_h,34231776.9077001100819958545067629759023391625305736106736216,E_h
E_h⋮A_mass,0.0000000292126231920797967750615115805704249331201932567842948773769,u
kg⋮E_h,20614857887405338322130732293687395.5921859759389575621132202,E_h
E_h⋮kg,4.85087020954402288598235939447718080542863868422490095794767e-35,kg
V_m(Si),0.0000120588317215772307099719130419695733176141676484189732257658,m^3/mol
F,96485.3322042857456999524446675087891523194786592556804653226,C/mol
M_p,0.000000000399031271062295308235114036163852565374642489550913493392841,J/(Hz*mol)
m_∆,2.30557506525214150003809269058252955356538197776797080766210e-30,kg
kg⋮1/m,452443833598083488301396266461072868283888.189375641535133980,cycles/m
A_mass⋮1/m,751300661861780.925409192534312442674877340227704692404708851,cycles/m
1/m⋮kg,2.21021909404020424478091043304901315660566941361967176076160e-42,kg
1/m⋮A_mass,0.00000000000000133102504864185260196925511501476919607793128093134901208135,u
λ_C,0.00000000000242631023609292716032876181869936573985673314576606136434522,m/cycle
λ_+,0.00000000000000132140985399773986972050813212758894505792669181688286376866,m/cycle
λ_n,0.00000000000000131959090499128113944277474975623461250112055504598740411236,m/cycle
λ_τ,0.000000000000000697770282157981863529022073729815913649271820817527733973711,m/cycle
λ_-,0.000000000000386159267548653356796878352657788694642178798942467493841676,m/cycle
λ_+_-,0.000000000000000210308910114080230109345970369381084959140969766709496861566,m/cycle
λ_n_-,0.000000000000000210019415388470231032024735677193932308164227231200340624648,m/cycle
λ_τ_-,0.000000000000000111053589548069469331342730431313918610552363789044737222880,m/cycle
g_de,0.857438235960774930274706322158841223936165975995989734828349,-
μ_de/μ_N,0.857438235960774930274706322158841223936165975995989734828349,-
μ_de/μ_B,0.000466975458182756693834895390191367272988729704578421020868062,-
b',58789257579.6309415632195569882061772153251962067959811557016,Hz/K
k_B ̈,20836619124.4485885294075770721262176680685906356788616816694,Hz/K
K⋮Hz,20836619124.4485885294075770721262176680685906356788616816694,Hz
Hz⋮K,0.0000000000479924307302319582046090070309029162947996956758202698737470,K
b,0.00289777195379426398857286323244731072455240199514087855683087,m*K/cycle
c_2,0.0143877687681332993078844014746159283541676122042693852052872,m*K
1/m⋮K,0.0143877687681332993078844014746159283541676122042693852052872,cycles/m
K⋮1/m,69.5034800805251092571971246876095656142111055235772334102876,cycles/m
k_B ̇,69.5034800805251092571971246876095656142111055235772334102876,cycles/m*K
M_e,0.000000548579909796587589383072443225558726214696697266915318028566,kg/mol
M_A_mass,0.00100000000136176439286528862641098814410823571460578520536190,kg/mol
M_+,0.00100727646795395525729639453690272409617679420383104021646732,kg/mol
M_n,0.00100866491684647487622724135249189492056929295971183101476410,kg/mol
M_τ,0.00190754046781407397536490215141101305883373831207600025020475,kg/mol
M_tri,0.00301550071982805684275065360807343428851332523932739348803206,kg/mol
M_12_C,0.0120000000163411727143834635169318577292988285752694224643428,kg/mol
N_A,602214076443130916631964.108182365195419895056065949360149001,1/mol
V_90,1.00000010665217510792165581305806089260043613707107600975274,V
W_90,1.00000019552575189378697190206669656395323667247405307657924,W
σ_dp,0.0000000198769745110889468541152929562163802433646159623193130905467,-
σ_tp,0.0000000239369251464031766148326327079057219886366741236192301629373,-
A_edm,8.47835362016674251822084016988547597064635556459744146535420e-30,m*C
A_mag,7.89103656936017178299821294095105297054581022224384926742502e-29,J/T^2
A_eqm,4.48655151342649023926867845232197455885259230100503066692190e-40,m*C
A_mfd,235051.756770602958371789495806022101345703037288071337941512,T
A_ep,1.64877727300423498208967230216350604170388626463422889191732e-41,m^2*C^2/J
A_ef∇,9717362427793018139509.44875603633894057079426315301644959887,V/m^2
A_1^st_hp,3.20636129566260744808327193683235601210261377232894065769190e-53,m^3*C^3/J^2
A_2^nd_hp,6.23537998029131357657734432162604939692867421659453679064426e-65,m^4*C^4/J^3
E_h⋮K,315775.024803816889365353512224296992654861689653768197208575,K
K⋮E_h,0.00000316681156345811371026882489712526092176519472865956414413736,E_h
eV⋮Hz,241798924253021.037871675332152522293756311222278112850285165,Hz
Hz⋮eV,0.00000000000000413566769616114672173003523797617176350610061791611130244517,eV
ℏ̇,0.000000000000000658211956829517875386544033678021233941970950169337757399642,eV s
q_c,0.000363694754800778851746725676122219360708072240391273178704919,m^2/s
2q_c,0.000727389509601557703493451352244438721416144480782546357409837,m^2/s
μ_B/e,0.0000578838180031388457838017417232231002111069578956415444148255,eV/T
μ_N/e,0.0000000315245125534845105219251792066121639345677658147127786304961,eV/T
-e/m_e,-175882000934.635754069423620039985587235309755514966066777869,C/kg
e/m_+,95788331.4831657172528065204789977326871243786840676542670884,C/kg
μ_B/h,13996244924.8203322759509016578297028886182776580561804345811,Hz/T
μ_N/h,7.62259322303543089428900677168941668896447906291705777689003,MHz/T
μ_e/μ_N,-1838.28197186466271222770275226316800564640485684681380321289,-
R_∞,10973731.5681099733990732957934683212305400594176805734327091,1/m
E_h⋮1/m,21947463.1362199467981465915869366424610801188353611468654183,1/m
1/m⋮E_h,0.0000000455633525292919696796070951726410246502469746048780595180688,E_h
